scale,arm,transform,dim,quantizer,index_type,sweep_param,sweep_value,refine_k,recall_at_10,recall_at_100,p50_ms,p99_ms,qps,qps_threads,build_seconds,ingest_seconds,nominal_payload_bytes,n_rows,n_recall_queries,loaded_bytes,index_files_bytes,chunk_cache_bytes,segment_heap_bytes,payload_compression_vs_1024_fp32,footprint_compression_vs_flat_1024,footprint_compression_vs_raw_1024,dim_compression
1m,mrl_128_sq8,mrl,128,sq8,IVF_SQ8,nprobe,512,,0.33099,0.35126,7.039416494080797,14.66920247854432,419.40550114921035,8,301.3001171660144,131.51609658400412,128,1000000,10000,202493852,145743872,0,56749980,32.0,20.5080312364249,20.22777461905362,8.0
1m,pca_uc_512_sq8,pca_uc,512,sq8,IVF_SQ8,nprobe,1,,0.48514,0.36898,3.7955210136715323,7.100678921560756,439.51291420705036,8,155.5027357910003,152.41047754199826,512,1000000,10000,619237320,562487296,0,56750024,8.0,6.706233794177651,6.61458841014298,2.0
1m,pca_uc_512_sq8,pca_uc,512,sq8,IVF_SQ8,nprobe,2,,0.62457,0.515565,5.01870849984698,11.902925734175358,492.70813515889625,8,155.5027357910003,152.41047754199826,512,1000000,10000,619237320,562487296,0,56750024,8.0,6.706233794177651,6.61458841014298,2.0
1m,pca_uc_512_sq8,pca_uc,512,sq8,IVF_SQ8,nprobe,4,,0.7394,0.654129,4.7910414868965745,9.946315714623772,525.5951362971994,8,155.5027357910003,152.41047754199826,512,1000000,10000,619237320,562487296,0,56750024,8.0,6.706233794177651,6.61458841014298,2.0
1m,pca_uc_512_sq8,pca_uc,512,sq8,IVF_SQ8,nprobe,8,,0.82794,0.772388,5.145124989212491,9.564543401647825,550.8688854910354,8,155.5027357910003,152.41047754199826,512,1000000,10000,619237320,562487296,0,56750024,8.0,6.706233794177651,6.61458841014298,2.0
1m,pca_uc_512_sq8,pca_uc,512,sq8,IVF_SQ8,nprobe,16,,0.88832,0.860466,5.976458007353358,15.468276263854916,456.87075369398,8,155.5027357910003,152.41047754199826,512,1000000,10000,619237320,562487296,0,56750024,8.0,6.706233794177651,6.61458841014298,2.0
1m,pca_uc_512_sq8,pca_uc,512,sq8,IVF_SQ8,nprobe,32,,0.92495,0.917239,6.199499999638647,11.291491181182208,378.6423590712104,8,155.5027357910003,152.41047754199826,512,1000000,10000,619237320,562487296,0,56750024,8.0,6.706233794177651,6.61458841014298,2.0
1m,pca_uc_512_sq8,pca_uc,512,sq8,IVF_SQ8,nprobe,64,,0.94422,0.94773,4.227083511068486,6.333424155309329,332.73855163705895,8,155.5027357910003,152.41047754199826,512,1000000,10000,619237320,562487296,0,56750024,8.0,6.706233794177651,6.61458841014298,2.0
1m,pca_uc_512_sq8,pca_uc,512,sq8,IVF_SQ8,nprobe,128,,0.95461,0.958845,9.780958498595282,17.51900649076559,246.39016971562697,8,155.5027357910003,152.41047754199826,512,1000000,10000,619237320,562487296,0,56750024,8.0,6.706233794177651,6.61458841014298,2.0
1m,pca_uc_512_sq8,pca_uc,512,sq8,IVF_SQ8,nprobe,256,,0.95634,0.965642,13.580666505731642,21.38539564824896,132.57918975734447,8,155.5027357910003,152.41047754199826,512,1000000,10000,619237320,562487296,0,56750024,8.0,6.706233794177651,6.61458841014298,2.0
1m,pca_uc_512_sq8,pca_uc,512,sq8,IVF_SQ8,nprobe,512,,0.95993,0.970096,11.612145506660454,16.5110050063231,118.97370663232154,8,155.5027357910003,152.41047754199826,512,1000000,10000,619237320,562487296,0,56750024,8.0,6.706233794177651,6.61458841014298,2.0
1m,pca_uc_384_sq8,pca_uc,384,sq8,IVF_SQ8,nprobe,1,,0.45368,0.339312,4.230728998663835,9.498887004447164,817.7114250405135,8,155.42087487500976,130.03709183298633,384,1000000,10000,479555554,422805504,0,56750050,10.666666666666666,8.659581162936547,8.541241918345085,2.6666666666666665
1m,pca_uc_384_sq8,pca_uc,384,sq8,IVF_SQ8,nprobe,2,,0.58576,0.479316,4.2336660117143765,9.378164603840556,652.6290685416168,8,155.42087487500976,130.03709183298633,384,1000000,10000,479555554,422805504,0,56750050,10.666666666666666,8.659581162936547,8.541241918345085,2.6666666666666665
1m,pca_uc_384_sq8,pca_uc,384,sq8,IVF_SQ8,nprobe,4,,0.69593,0.615908,5.091396000352688,13.251918496389406,585.1566601530009,8,155.42087487500976,130.03709183298633,384,1000000,10000,479555554,422805504,0,56750050,10.666666666666666,8.659581162936547,8.541241918345085,2.6666666666666665
1m,pca_uc_384_sq8,pca_uc,384,sq8,IVF_SQ8,nprobe,8,,0.7818,0.735002,4.266479008947499,8.517121160693925,698.4199514475519,8,155.42087487500976,130.03709183298633,384,1000000,10000,479555554,422805504,0,56750050,10.666666666666666,8.659581162936547,8.541241918345085,2.6666666666666665
1m,pca_uc_384_sq8,pca_uc,384,sq8,IVF_SQ8,nprobe,16,,0.83968,0.821936,4.923229003907181,11.59102584642822,559.9595923334463,8,155.42087487500976,130.03709183298633,384,1000000,10000,479555554,422805504,0,56750050,10.666666666666666,8.659581162936547,8.541241918345085,2.6666666666666665
1m,pca_uc_384_sq8,pca_uc,384,sq8,IVF_SQ8,nprobe,32,,0.87477,0.876178,5.713187492801808,11.811770433851049,433.65303680696456,8,155.42087487500976,130.03709183298633,384,1000000,10000,479555554,422805504,0,56750050,10.666666666666666,8.659581162936547,8.541241918345085,2.6666666666666665
1m,pca_uc_384_sq8,pca_uc,384,sq8,IVF_SQ8,nprobe,64,,0.89337,0.905842,3.0387709848582745,4.44055742555065,609.3698304733341,8,155.42087487500976,130.03709183298633,384,1000000,10000,479555554,422805504,0,56750050,10.666666666666666,8.659581162936547,8.541241918345085,2.6666666666666665
1m,pca_uc_384_sq8,pca_uc,384,sq8,IVF_SQ8,nprobe,128,,0.90313,0.920607,7.945874996948987,27.572037736536,317.9107035733303,8,155.42087487500976,130.03709183298633,384,1000000,10000,479555554,422805504,0,56750050,10.666666666666666,8.659581162936547,8.541241918345085,2.6666666666666665
1m,pca_uc_384_sq8,pca_uc,384,sq8,IVF_SQ8,nprobe,256,,0.90586,0.924577,10.888832999626175,20.453892417426676,218.59325936674912,8,155.42087487500976,130.03709183298633,384,1000000,10000,479555554,422805504,0,56750050,10.666666666666666,8.659581162936547,8.541241918345085,2.6666666666666665
1m,pca_uc_384_sq8,pca_uc,384,sq8,IVF_SQ8,nprobe,512,,0.90888,0.928614,11.093979002907872,43.13665044377556,190.7664560282018,8,155.42087487500976,130.03709183298633,384,1000000,10000,479555554,422805504,0,56750050,10.666666666666666,8.659581162936547,8.541241918345085,2.6666666666666665
1m,pca_uc_448_sq8,pca_uc,448,sq8,IVF_SQ8,nprobe,1,,0.36709,0.270595,1.2144579959567636,3.2458346651401317,2013.889122669729,8,472.81299183302326,136.65529749999405,448,1000000,10000,535134176,478384128,0,56750048,9.142857142857142,7.760203754955094,7.654155132861483,2.2857142857142856
1m,pca_uc_448_sq8,pca_uc,448,sq8,IVF_SQ8,nprobe,2,,0.49881,0.393909,1.1254789860686287,2.2723748331191014,2062.0152828632636,8,472.81299183302326,136.65529749999405,448,1000000,10000,535134176,478384128,0,56750048,9.142857142857142,7.760203754955094,7.654155132861483,2.2857142857142856
1m,pca_uc_448_sq8,pca_uc,448,sq8,IVF_SQ8,nprobe,4,,0.624,0.526783,1.336563000222668,4.529846763762169,2185.951716308316,8,472.81299183302326,136.65529749999405,448,1000000,10000,535134176,478384128,0,56750048,9.142857142857142,7.760203754955094,7.654155132861483,2.2857142857142856
1m,pca_uc_448_sq8,pca_uc,448,sq8,IVF_SQ8,nprobe,8,,0.72735,0.651718,1.3129579892847687,2.7287364954827336,2259.8249766789795,8,472.81299183302326,136.65529749999405,448,1000000,10000,535134176,478384128,0,56750048,9.142857142857142,7.760203754955094,7.654155132861483,2.2857142857142856
1m,pca_uc_448_sq8,pca_uc,448,sq8,IVF_SQ8,nprobe,16,,0.8082,0.759723,1.4449164882535115,2.661475571221671,2119.14055505037,8,472.81299183302326,136.65529749999405,448,1000000,10000,535134176,478384128,0,56750048,9.142857142857142,7.760203754955094,7.654155132861483,2.2857142857142856
1m,pca_uc_448_sq8,pca_uc,448,sq8,IVF_SQ8,nprobe,32,,0.86494,0.842213,1.4552505017491058,3.37085999402916,1821.8877731059276,8,472.81299183302326,136.65529749999405,448,1000000,10000,535134176,478384128,0,56750048,9.142857142857142,7.760203754955094,7.654155132861483,2.2857142857142856
1m,pca_uc_448_sq8,pca_uc,448,sq8,IVF_SQ8,nprobe,64,,0.90106,0.89717,1.711103497655131,3.21426926064305,1376.2810638422573,8,472.81299183302326,136.65529749999405,448,1000000,10000,535134176,478384128,0,56750048,9.142857142857142,7.760203754955094,7.654155132861483,2.2857142857142856
1m,pca_uc_448_sq8,pca_uc,448,sq8,IVF_SQ8,nprobe,128,,0.923,0.929362,2.794041487504728,4.91809043858666,809.6389816884283,8,472.81299183302326,136.65529749999405,448,1000000,10000,535134176,478384128,0,56750048,9.142857142857142,7.760203754955094,7.654155132861483,2.2857142857142856
1m,pca_uc_448_sq8,pca_uc,448,sq8,IVF_SQ8,nprobe,256,,0.93416,0.945703,3.669937505037524,5.197787427168804,577.7280076886652,8,472.81299183302326,136.65529749999405,448,1000000,10000,535134176,478384128,0,56750048,9.142857142857142,7.760203754955094,7.654155132861483,2.2857142857142856
1m,pca_uc_448_sq8,pca_uc,448,sq8,IVF_SQ8,nprobe,512,,0.93922,0.953198,6.207917002029717,7.774129183380863,332.6611268788291,8,472.81299183302326,136.65529749999405,448,1000000,10000,535134176,478384128,0,56750048,9.142857142857142,7.760203754955094,7.654155132861483,2.2857142857142856
1m,pca_uc_768_sq8,pca_uc,768,sq8,IVF_SQ8,nprobe,1,,0.52507,0.412393,7.090459010214545,24.79304834909271,384.57065978802393,8,169.06466675002594,177.67235995898955,768,1000000,10000,882708444,825958400,0,56750044,5.333333333333333,4.7045547940855545,4.640263756217109,1.3333333333333333
1m,pca_uc_768_sq8,pca_uc,768,sq8,IVF_SQ8,nprobe,2,,0.66771,0.563652,6.25900000159163,13.895812816335809,350.1114163932652,8,169.06466675002594,177.67235995898955,768,1000000,10000,882708444,825958400,0,56750044,5.333333333333333,4.7045547940855545,4.640263756217109,1.3333333333333333
1m,pca_uc_768_sq8,pca_uc,768,sq8,IVF_SQ8,nprobe,4,,0.78297,0.702385,5.726187489926815,10.136930828157347,410.6739428322822,8,169.06466675002594,177.67235995898955,768,1000000,10000,882708444,825958400,0,56750044,5.333333333333333,4.7045547940855545,4.640263756217109,1.3333333333333333
1m,pca_uc_768_sq8,pca_uc,768,sq8,IVF_SQ8,nprobe,8,,0.86672,0.814795,6.860624984255992,18.15975009289104,337.97079726218715,8,169.06466675002594,177.67235995898955,768,1000000,10000,882708444,825958400,0,56750044,5.333333333333333,4.7045547940855545,4.640263756217109,1.3333333333333333
1m,pca_uc_768_sq8,pca_uc,768,sq8,IVF_SQ8,nprobe,16,,0.92169,0.894421,4.037875492940657,8.30462957121199,395.92021700240895,8,169.06466675002594,177.67235995898955,768,1000000,10000,882708444,825958400,0,56750044,5.333333333333333,4.7045547940855545,4.640263756217109,1.3333333333333333
1m,pca_uc_768_sq8,pca_uc,768,sq8,IVF_SQ8,nprobe,32,,0.95382,0.925423,8.19802051410079,17.90731125191086,230.2968487522799,8,169.06466675002594,177.67235995898955,768,1000000,10000,882708444,825958400,0,56750044,5.333333333333333,4.7045547940855545,4.640263756217109,1.3333333333333333
1m,pca_uc_768_sq8,pca_uc,768,sq8,IVF_SQ8,nprobe,64,,0.96363,0.959646,10.883270995691419,25.145214773947362,149.14979953341594,8,169.06466675002594,177.67235995898955,768,1000000,10000,882708444,825958400,0,56750044,5.333333333333333,4.7045547940855545,4.640263756217109,1.3333333333333333
