arm,transform,dim,quantizer,best_recall_at_10,best_recall_at_100,at_nprobe,recall_loss_vs_full_dim_gt,recall_loss_vs_1024_control,exact_search_ceiling_at_10,quantizer_loss_below_ceiling,single_digit_loss,loaded_MiB,footprint_compression_vs_flat_1024,footprint_compression_vs_raw_1024,payload_compression_vs_1024_fp32,dim_compression,p50_ms_at_best,qps_at_best,nprobe_for_0p95,qps_at_0p95,segment_heap_MiB,index_files_MiB,n_rows,scale
pca_uc_384_sq8,pca_uc,384,sq8,0.90888,0.928614,512,0.09111999999999998,0.08250999999999997,0.91097,0.0020899999999999253,True,457.3398151397705,8.659581162936547,8.541241918345085,10.666666666666666,2.6666666666666665,11.093979002907872,190.7664560282018,,,54.12106513977051,403.21875,1000000,1m
pca_uc_448_sq8,pca_uc,448,sq8,0.93922,0.953198,512,0.060779999999999945,0.05216999999999994,0.94432,0.005099999999999993,True,510.3437194824219,7.760203754955094,7.654155132861483,9.142857142857142,2.2857142857142856,6.207917002029717,332.6611268788291,,,54.121063232421875,456.22265625,1000000,1m
pca_512_sq8,pca,512,sq8,0.82614,0.830516,512,0.17386000000000001,0.16525,0.8271,0.0009599999999999609,False,580.9022903442383,6.817620302199796,6.7244527434815,8.0,2.0,21.276813000440598,118.95601878502659,,,54.12104034423828,526.78125,1000000,1m
mrl_512_sq8,mrl,512,sq8,0.69951,0.714823,512,0.30049000000000003,0.29188000000000003,0.70035,0.0008400000000000629,False,586.8358860015869,6.748686204637679,6.656460678666534,8.0,2.0,19.518708504620008,111.31282695970802,,,54.121042251586914,532.71484375,1000000,1m
pca_uc_512_sq8,pca_uc,512,sq8,0.95993,0.970096,512,0.04007000000000005,0.031460000000000043,0.96374,0.003810000000000091,True,590.5507278442383,6.706233794177651,6.61458841014298,8.0,2.0,11.612145506660454,118.97370663232154,128.0,246.39016971562697,54.12104034423828,536.4296875,1000000,1m
pca_512_refine_k2,pca,512,refine_k2,0.80054,0.809875,128,0.19945999999999997,0.18579,0.8271,0.026559999999999917,False,640.8749332427979,6.179632004338104,6.095183002765538,7.111111111111111,2.0,30.83670798514504,125.62951115424303,,,54.12102699279785,586.75390625,1000000,1m
mrl_512_refine_k2,mrl,512,refine_k2,0.69033,0.710179,512,0.30967,0.29600000000000004,0.70035,0.010020000000000029,False,649.925724029541,6.093575160698253,6.010302186196356,7.111111111111111,2.0,93.9262294996297,34.925266234791316,,,54.121036529541016,595.8046875,1000000,1m
pca_uc_512_refine_k2,pca_uc,512,refine_k2,0.94497,0.963766,512,0.05503000000000002,0.04136000000000006,0.96374,0.018770000000000064,True,669.812442779541,5.912657029497342,5.8318564280324745,7.111111111111111,2.0,104.96891649381723,15.597335196408366,,,54.121036529541016,615.69140625,1000000,1m
pca_uc_768_sq8,pca_uc,768,sq8,0.98168,0.984418,512,0.018320000000000003,0.009709999999999996,0.99087,0.009190000000000031,True,841.8163719177246,4.7045547940855545,4.640263756217109,5.333333333333333,1.3333333333333333,12.918103995616548,138.8780418484138,32.0,230.2968487522799,54.12105941772461,787.6953125,1000000,1m
mrl_1024_sq8,mrl,1024,sq8,0.99139,0.992037,512,0.008610000000000007,0.0,1.0,0.008610000000000007,True,1123.660312652588,3.5245271223436925,3.476361989486524,4.0,1.0,34.83560399035923,56.76297948522605,32.0,183.90142341222415,54.12125015258789,1069.5390625,1000000,1m
mrl_1024_refine_k2,mrl,1024,refine_k2,0.98633,0.987001,512,0.01366999999999996,0.0,1.0,0.01366999999999996,True,1272.660306930542,3.1118840013145666,3.0693579258563233,3.5555555555555554,1.0,114.17600000277162,17.148501039047066,128.0,62.53044239286531,54.12124443054199,1218.5390625,1000000,1m
