scale,arm,index_type,sweep_param,sweep_value,refine_k,recall_at_10,recall_at_100,p50_ms,p99_ms,qps,qps_threads,build_seconds,ingest_seconds,nominal_payload_bytes,n_rows,loaded_bytes,index_files_bytes,chunk_cache_bytes,segment_heap_bytes,payload_compression,footprint_compression_vs_flat
1m,ivf_flat_fp32,IVF_FLAT,nprobe,8,,0.88951,0.839634,6.053353994502686,35.05510817238246,405.48360489078794,8,188.14224020800611,179.4789710000041,4096,1000000,4260020394,4203270144,0,56750250,1.0,0.9748193336935467
1m,ivf_flat_fp32,IVF_FLAT,nprobe,16,,0.94109,0.901301,6.245041498914361,25.065751663496485,252.61033308879357,8,188.14224020800611,179.4789710000041,4096,1000000,4260020394,4203270144,0,56750250,1.0,0.9748193336935467
1m,ivf_flat_fp32,IVF_FLAT,nprobe,32,,0.9638,0.94489,8.266062497568782,13.998685066762844,206.1103146259697,8,188.14224020800611,179.4789710000041,4096,1000000,4260020394,4203270144,0,56750250,1.0,0.9748193336935467
1m,ivf_flat_fp32,IVF_FLAT,nprobe,64,,0.98376,0.974149,10.491520501091145,20.256456997158228,134.80468680337182,8,188.14224020800611,179.4789710000041,4096,1000000,4260020394,4203270144,0,56750250,1.0,0.9748193336935467
1m,ivf_flat_fp32,IVF_FLAT,nprobe,128,,0.99346,0.988595,15.056896503665484,31.788722252676948,79.86942334230645,8,188.14224020800611,179.4789710000041,4096,1000000,4260020394,4203270144,0,56750250,1.0,0.9748193336935467
1m,ivf_flat_fp32,IVF_FLAT,nprobe,256,,0.99521,0.99226,20.86731299641542,35.549681333213805,55.710577588415454,8,188.14224020800611,179.4789710000041,4096,1000000,4260020394,4203270144,0,56750250,1.0,0.9748193336935467
1m,ivf_sq8,IVF_SQ8,nprobe,1,,0.55032,0.438342,6.021666500600986,12.54799398637259,322.7953170628866,8,183.5208300420054,207.6484249579953,1024,1000000,1184178330,1127428096,0,56750234,4.0,3.5068622155921396
1m,ivf_sq8,IVF_SQ8,nprobe,2,,0.69425,0.593833,5.935770990618039,13.754266338073649,315.3271170004058,8,183.5208300420054,207.6484249579953,1024,1000000,1184178330,1127428096,0,56750234,4.0,3.5068622155921396
1m,ivf_sq8,IVF_SQ8,nprobe,4,,0.80756,0.731655,6.365916509821545,14.670533000171407,354.27721578689284,8,183.5208300420054,207.6484249579953,1024,1000000,1184178330,1127428096,0,56750234,4.0,3.5068622155921396
1m,ivf_sq8,IVF_SQ8,nprobe,8,,0.88814,0.839161,6.59827050549211,11.758592496917112,301.4097631636607,8,183.5208300420054,207.6484249579953,1024,1000000,1184178330,1127428096,0,56750234,4.0,3.5068622155921396
1m,ivf_sq8,IVF_SQ8,nprobe,16,,0.93782,0.912114,4.974749499524478,8.971494584111495,292.01978909036535,8,183.5208300420054,207.6484249579953,1024,1000000,1184178330,1127428096,0,56750234,4.0,3.5068622155921396
1m,ivf_sq8,IVF_SQ8,nprobe,32,,0.96105,0.943312,10.64729149948107,24.51260741392615,179.6615732909366,8,183.5208300420054,207.6484249579953,1024,1000000,1184178330,1127428096,0,56750234,4.0,3.5068622155921396
1m,ivf_sq8,IVF_SQ8,nprobe,64,,0.97755,0.971306,8.559541995055042,22.210866240493484,147.72019271584603,8,183.5208300420054,207.6484249579953,1024,1000000,1184178330,1127428096,0,56750234,4.0,3.5068622155921396
1m,ivf_sq8,IVF_SQ8,nprobe,128,,0.98468,0.98207,18.26887499919394,38.932249673962325,85.40055791970077,8,183.5208300420054,207.6484249579953,1024,1000000,1184178330,1127428096,0,56750234,4.0,3.5068622155921396
1m,ivf_sq8,IVF_SQ8,nprobe,256,,0.99031,0.990156,23.65058301074896,49.29159907682331,67.72190057399727,8,183.5208300420054,207.6484249579953,1024,1000000,1184178330,1127428096,0,56750234,4.0,3.5068622155921396
1m,ivf_pq_m512,IVF_PQ,nprobe,1,,0.43301,0.312358,7.727937503659632,16.52877399974386,333.86157657606617,8,2060.7583278749953,269.8774964159966,512,1000000,691781814,635031552,0,56750262,8.0,6.00297688947342
1m,ivf_pq_m512,IVF_PQ,nprobe,2,,0.5706,0.447896,5.8902085074805655,10.508078330021817,432.9423721779381,8,2060.7583278749953,269.8774964159966,512,1000000,691781814,635031552,0,56750262,8.0,6.00297688947342
1m,ivf_pq_m512,IVF_PQ,nprobe,4,,0.68849,0.584972,6.029812502674758,13.202144572569521,433.49374612703775,8,2060.7583278749953,269.8774964159966,512,1000000,691781814,635031552,0,56750262,8.0,6.00297688947342
1m,ivf_pq_m512,IVF_PQ,nprobe,8,,0.78355,0.709164,6.276395499298815,12.077658013149627,356.24910130610107,8,2060.7583278749953,269.8774964159966,512,1000000,691781814,635031552,0,56750262,8.0,6.00297688947342
1m,ivf_pq_m512,IVF_PQ,nprobe,16,,0.85219,0.809282,7.314896007301286,15.152178916468982,329.06496768943356,8,2060.7583278749953,269.8774964159966,512,1000000,691781814,635031552,0,56750262,8.0,6.00297688947342
1m,ivf_pq_m512,IVF_PQ,nprobe,32,,0.89658,0.879974,6.015562001266517,11.462455998844227,338.9942716730553,8,2060.7583278749953,269.8774964159966,512,1000000,691781814,635031552,0,56750262,8.0,6.00297688947342
1m,ivf_pq_m512,IVF_PQ,nprobe,64,,0.92252,0.921514,6.463479498052038,9.798173163726453,246.4184313101032,8,2060.7583278749953,269.8774964159966,512,1000000,691781814,635031552,0,56750262,8.0,6.00297688947342
1m,ivf_pq_m512,IVF_PQ,nprobe,128,,0.93698,0.944737,9.127229001023807,14.521882510452995,151.39542822836066,8,2060.7583278749953,269.8774964159966,512,1000000,691781814,635031552,0,56750262,8.0,6.00297688947342
1m,ivf_pq_m512,IVF_PQ,nprobe,256,,0.94396,0.955741,13.511375007510651,19.758559067849994,92.97986016714273,8,2060.7583278749953,269.8774964159966,512,1000000,691781814,635031552,0,56750262,8.0,6.00297688947342
1m,ivf_pq_m256,IVF_PQ,nprobe,1,,0.52639,0.436543,8.132583505357616,19.522925994388057,273.92924938336785,8,712.8211067079974,215.78576566699485,256,1000000,453456062,396705792,0,56750270,16.0,9.157999175673165
