workload,size,corpus_tokens,live_arm,index_arm,regime,hit_rate,cached,footprint,infra_mode,c_live,c_index_query,saving_per_query,footprint_gib,infra_month,embed_once,churn_day,fixed_daily,break_even_qpd,feasible,live_window_exceeded,c_live_over_window,break_even_qpd_over_window,measured,churn_frac_per_day,edit_kind,live_cache,reembed_share_of_fixed
memory,S,98134,replay,memsearch,claude,0.0,True,pca_uc_384_sq8,marginal,0.3928578333333333,0.0114765,0.3813813333333333,0.0001559432040213496,0.0011649889277285683,0.00099968,4.9984e-07,4.151347954845061e-05,0.00010885031835621378,True,False,,,True,0.0001,mid_edit,invalidated,0.012040426517768378
memory,S,98134,replay,memsearch,claude,1.0,True,pca_uc_384_sq8,marginal,0.01994863333333333,0.0114765,0.00847213333333333,0.0001559432040213496,0.0011649889277285683,0.00099968,9.9968e-07,4.201331954845061e-05,0.004959001221469283,True,False,,,True,0.001,append,measured,0.023794358806786233
memory,S,98134,replay,memsearch,claude,0.0,True,pca_uc_384_sq8,marginal,0.3928578333333333,0.0114765,0.3813813333333333,0.0001559432040213496,0.0011649889277285683,0.00099968,9.9968e-07,4.201331954845061e-05,0.00011016092261581746,True,False,,,True,0.001,append,invalidated,0.023794358806786233
memory,S,98134,replay,memsearch,claude,1.0,True,pca_uc_384_sq8,marginal,0.01994863333333333,0.0114765,0.00847213333333333,0.0001559432040213496,0.0011649889277285683,0.00099968,4.9984e-06,4.6012039548450614e-05,0.005430986239017009,True,False,,,True,0.001,mid_edit,measured,0.10863243727191645
memory,S,98134,replay,memsearch,claude,0.0,True,pca_uc_384_sq8,marginal,0.3928578333333333,0.0114765,0.3813813333333333,0.0001559432040213496,0.0011649889277285683,0.00099968,4.9984e-06,4.6012039548450614e-05,0.00012064575669264696,True,False,,,True,0.001,mid_edit,invalidated,0.10863243727191645
memory,S,98134,replay,memsearch,claude,1.0,True,pca_uc_384_sq8,marginal,0.01994863333333333,0.0114765,0.00847213333333333,0.0001559432040213496,0.0011649889277285683,0.00099968,9.9968e-06,5.101043954845061e-05,0.006020967510951665,True,False,,,True,0.01,append,measured,0.19597557065754873
memory,S,98134,replay,memsearch,claude,0.0,True,pca_uc_384_sq8,marginal,0.3928578333333333,0.0114765,0.3813813333333333,0.0001559432040213496,0.0011649889277285683,0.00099968,9.9968e-06,5.101043954845061e-05,0.0001337517992886838,True,False,,,True,0.01,append,invalidated,0.19597557065754873
memory,S,98134,replay,memsearch,claude,1.0,True,pca_uc_384_sq8,marginal,0.01994863333333333,0.0114765,0.00847213333333333,0.0001559432040213496,0.0011649889277285683,0.00099968,4.998400000000001e-05,9.099763954845063e-05,0.01074081768642892,True,False,,,True,0.01,mid_edit,measured,0.549288973296792
memory,S,98134,replay,memsearch,claude,0.0,True,pca_uc_384_sq8,marginal,0.3928578333333333,0.0114765,0.3813813333333333,0.0001559432040213496,0.0011649889277285683,0.00099968,4.998400000000001e-05,9.099763954845063e-05,0.00023860014005697876,True,False,,,True,0.01,mid_edit,invalidated,0.549288973296792
memory,S,98134,replay,memsearch,claude,1.0,True,pca_uc_384_sq8,marginal,0.01994863333333333,0.0114765,0.00847213333333333,0.0001559432040213496,0.0011649889277285683,0.00099968,9.996800000000002e-05,0.00014098163954845064,0.01664063040577549,True,False,,,True,0.1,append,measured,0.7090852420229117
