workload,knob,setting,size,corpus_tokens,c_live,c_index_query,fixed_daily,break_even_qpd,in_c9_band,index_wins_per_query,feasible,ratio_vs_base,max_spread_ratio,weakens_claim,strengthens_claim,changes_number
memory,live_uncached,list price,M,392116,0.7846413333333334,0.012446666666666668,2.8276910470136984,3.6618888592173198,False,True,True,0.24677188480970266,21.85,False,True,True
memory,live_uncached,list price,L,1221906,1.9209256842105262,0.01879842105263158,2.8277145235616437,1.4866063792530355,False,True,True,0.14267282132708037,21.85,False,True,True
memory,open_weight_usd_per_mtok,x0.5,S,98134,5.036849349349349e-06,0.0005712037662662662,2.827682738849315,inf,False,False,True,,1.0,True,False,False
memory,open_weight_usd_per_mtok,x0.5,M,392116,,0.000616768018018018,2.8276910470136984,,,,False,,1.0,True,False,False
memory,open_weight_usd_per_mtok,x0.5,L,1221906,,0.0009345909988936304,2.8277145235616437,,,,False,,1.0,True,False,False
memory,open_weight_usd_per_mtok,x2,S,98134,2.0147397397397398e-05,0.002284815065065065,2.827682738849315,inf,False,False,True,,1.0,True,False,False
memory,open_weight_usd_per_mtok,x2,M,392116,,0.002467072072072072,2.8276910470136984,,,,False,,1.0,True,False,False
memory,open_weight_usd_per_mtok,x2,L,1221906,,0.0037383639955745214,2.8277145235616437,,,,False,,1.0,True,False,False
memory,regime,openai,S,98134,0.02000563333333333,0.011685333333333334,2.827682738849315,339.8534594725329,True,True,True,1.0182485407176822,1.38,True,False,True
memory,regime,openai,M,392116,0.27522536666666675,0.012685833333333334,2.8276910470136984,10.770534292919304,True,True,True,0.7258180545761617,1.38,True,False,True
memory,regime,openai,L,1221906,,0.019145315789473687,2.8277145235616437,,,,False,,1.38,True,False,True
memory,regime,open_weight,S,98134,1.0073698698698699e-05,0.0011424075325325324,2.827682738849315,inf,False,False,True,,1.38,True,False,True
memory,regime,open_weight,M,392116,,0.001233536036036036,2.8276910470136984,,,,False,,1.38,True,False,True
memory,regime,open_weight,L,1221906,,0.0018691819977872607,2.8277145235616437,,,,False,,1.38,True,False,True
code_unseen,base,headline,S,1139248,0.14416254054054053,0.06771886486486486,2.8277206215342465,36.99090338789171,True,True,True,1.0,,,,
code_unseen,base,headline,M,2017476,0.1897402162162162,0.07985713513513515,2.827754095506849,25.734208284715756,True,True,True,1.0,,,,
code_unseen,base,headline,L,4307363,0.13922416216216216,0.09489540540540542,2.8278318240547944,63.7922655844339,True,True,True,1.0,,,,
code_unseen,claude_price,x0.5,S,1139248,0.07208127027027027,0.03385943243243243,2.8277206215342465,73.98180677578343,True,True,True,2.0,3.0,False,False,True
code_unseen,claude_price,x0.5,M,2017476,0.0948701081081081,0.039928567567567574,2.827754095506849,51.46841656943151,True,True,True,2.0,3.0,False,False,True
code_unseen,claude_price,x0.5,L,4307363,0.06961208108108108,0.04744770270270271,2.8278318240547944,127.5845311688678,True,True,True,2.0,3.0,False,False,True
code_unseen,claude_price,x1.5,S,1139248,0.21624381081081082,0.1015782972972973,2.8277206215342465,24.660602258594473,True,True,True,0.6666666666666666,3.0,False,False,True
code_unseen,claude_price,x1.5,M,2017476,0.2846103243243243,0.11978570270270271,2.827754095506849,17.15613885647717,True,True,True,0.6666666666666666,3.0,False,False,True
code_unseen,claude_price,x1.5,L,4307363,0.20883624324324324,0.1423431081081081,2.8278318240547944,42.528177056289245,True,True,True,0.6666666666666663,3.0,False,False,True
code_unseen,cache_hit_rate,miss/2,S,1139248,0.14416254054054053,0.06771886486486486,2.8277206215342465,36.99090338789171,True,True,True,1.0,1.0,False,False,False
code_unseen,cache_hit_rate,miss/2,M,2017476,0.1897402162162162,0.07985713513513515,2.827754095506849,25.734208284715756,True,True,True,1.0,1.0,False,False,False
code_unseen,cache_hit_rate,miss/2,L,4307363,0.13922416216216216,0.09489540540540542,2.8278318240547944,63.7922655844339,True,True,True,1.0,1.0,False,False,False
code_unseen,cache_hit_rate,miss x2,S,1139248,0.14416254054054053,0.06771886486486486,2.8277206215342465,36.99090338789171,True,True,True,1.0,1.0,False,False,False
code_unseen,cache_hit_rate,miss x2,M,2017476,0.1897402162162162,0.07985713513513515,2.827754095506849,25.734208284715756,True,True,True,1.0,1.0,False,False,False
code_unseen,cache_hit_rate,miss x2,L,4307363,0.13922416216216216,0.09489540540540542,2.8278318240547944,63.7922655844339,True,True,True,1.0,1.0,False,False,False
code_unseen,infra_usd_per_gib_month,x0.5,S,1139248,0.14416254054054053,0.06771886486486486,1.4138806215342465,18.49571738979242,True,True,True,0.5000071827347329,4.0,False,False,True
code_unseen,infra_usd_per_gib_month,x0.5,M,2017476,0.1897402162162162,0.07985713513513515,1.4139140955068492,12.867441298479276,True,True,True,0.5000131014763566,4.0,False,False,True
code_unseen,infra_usd_per_gib_month,x0.5,L,4307363,0.13922416216216216,0.09489540540540542,1.4139918240547944,31.89784527036773,True,True,True,0.5000268446046725,4.0,False,False,True
code_unseen,infra_usd_per_gib_month,x2,S,1139248,0.14416254054054053,0.06771886486486486,5.6554006215342465,73.9812753840903,True,True,True,1.9999856345305342,4.0,False,False,True
code_unseen,infra_usd_per_gib_month,x2,M,2017476,0.1897402162162162,0.07985713513513515,5.655434095506849,51.46774225718872,True,True,True,1.9999737970472868,4.0,False,False,True
code_unseen,infra_usd_per_gib_month,x2,L,4307363,0.13922416216216216,0.09489540540540542,5.655511824054795,127.58110621256624,True,True,True,1.999946310790655,4.0,False,False,True
code_unseen,footprint,sq8 3.54x,S,1139248,0.14416254054054053,0.06771886486486486,2.8277206215342465,36.99090338789171,True,True,True,1.0,1.0,False,False,False
code_unseen,footprint,sq8 3.54x,M,2017476,0.1897402162162162,0.07985713513513515,2.827754095506849,25.734208284715756,True,True,True,1.0,1.0,False,False,False
code_unseen,footprint,sq8 3.54x,L,4307363,0.13922416216216216,0.09489540540540542,2.8278318240547944,63.7922655844339,True,True,True,1.0,1.0,False,False,False
code_unseen,footprint,refine_k2 3.11x,S,1139248,0.14416254054054053,0.06771886486486486,2.8277206215342465,36.99090338789171,True,True,True,1.0,1.0,False,False,False
code_unseen,footprint,refine_k2 3.11x,M,2017476,0.1897402162162162,0.07985713513513515,2.827754095506849,25.734208284715756,True,True,True,1.0,1.0,False,False,False
code_unseen,footprint,refine_k2 3.11x,L,4307363,0.13922416216216216,0.09489540540540542,2.8278318240547944,63.7922655844339,True,True,True,1.0,1.0,False,False,False
code_unseen,infra_mode,marginal GiB (no floor),S,1139248,0.14416254054054053,0.06771886486486486,0.0003810401134833087,0.004984586496074984,False,True,True,0.00013475168323968524,7421.06,False,True,True
code_unseen,infra_mode,marginal GiB (no floor),M,2017476,0.1897402162162162,0.07985713513513515,0.0006131861964076294,0.005580351318645394,False,True,True,0.00021684565761285595,7421.06,False,True,True
code_unseen,infra_mode,marginal GiB (no floor),L,4307363,0.13922416216216216,0.09489540540540542,0.0013586152163478952,0.030648619897078674,False,True,True,0.00048044413560626565,7421.06,False,True,True
code_unseen,cache_ttl,5m write (1.25x),S,1139248,0.14416254054054053,0.06771886486486486,2.8277206215342465,36.99090338789171,True,True,True,1.0,1.0,False,False,False
code_unseen,cache_ttl,5m write (1.25x),M,2017476,0.1897402162162162,0.07985713513513515,2.827754095506849,25.734208284715756,True,True,True,1.0,1.0,False,False,False
code_unseen,cache_ttl,5m write (1.25x),L,4307363,0.13922416216216216,0.09489540540540542,2.8278318240547944,63.7922655844339,True,True,True,1.0,1.0,False,False,False
code_unseen,live_uncached,list price,S,1139248,0.14416254054054053,0.06771886486486486,2.8277206215342465,36.99090338789171,True,True,True,1.0,1.0,False,False,False
code_unseen,live_uncached,list price,M,2017476,0.1897402162162162,0.07985713513513515,2.827754095506849,25.734208284715756,True,True,True,1.0,1.0,False,False,False
code_unseen,live_uncached,list price,L,4307363,0.13922416216216216,0.09489540540540542,2.8278318240547944,63.7922655844339,True,True,True,1.0,1.0,False,False,False
code_unseen,open_weight_usd_per_mtok,x0.5,S,1139248,0.007123384080025972,0.003085784128723318,2.8277206215342465,700.3469030214192,True,True,True,18.932949424821693,18.93,True,False,True
code_unseen,open_weight_usd_per_mtok,x0.5,M,2017476,0.009617170724778834,0.0037482254484213946,2.827754095506849,481.8164018155396,True,True,True,18.722798715424382,18.93,True,False,True
code_unseen,open_weight_usd_per_mtok,x0.5,L,4307363,0.006925335869653436,0.004496581669507345,2.8278318240547944,1164.313714366278,False,True,True,18.25164388973175,18.93,True,False,True
code_unseen,open_weight_usd_per_mtok,x2,S,1139248,0.028493536320103888,0.012343136514893271,2.8277206215342465,175.0867257553548,True,True,True,4.733237356205423,18.93,True,False,True
code_unseen,open_weight_usd_per_mtok,x2,M,2017476,0.038468682899115335,0.014992901793685579,2.827754095506849,120.4541004538849,True,True,True,4.6806996788560955,18.93,True,False,True
code_unseen,open_weight_usd_per_mtok,x2,L,4307363,0.027701343478613746,0.01798632667802938,2.8278318240547944,291.0784285915695,True,True,True,4.562910972432937,18.93,True,False,True
code_unseen,regime,openai,S,1139248,0.14702713513513516,0.07027702702702703,2.8277206215342465,36.843213530737906,True,True,True,0.9960074006410411,9.5,False,False,True
code_unseen,regime,openai,M,2017476,0.19238481081081082,0.08236464864864865,2.827754095506849,25.702144406394652,True,True,True,0.9987540367293853,9.5,False,False,True
code_unseen,regime,openai,L,4307363,0.14177654054054054,0.09767713513513514,2.8278318240547944,64.12403518955787,True,True,True,1.0052007810364543,9.5,False,False,True
code_unseen,regime,open_weight,S,1139248,0.014246768160051944,0.006171568257446636,2.8277206215342465,350.1734515107096,True,True,True,9.466474712410847,9.5,False,False,True
code_unseen,regime,open_weight,M,2017476,0.019234341449557667,0.007496450896842789,2.827754095506849,240.9082009077698,True,True,True,9.361399357712191,9.5,False,False,True
code_unseen,regime,open_weight,L,4307363,0.013850671739306873,0.00899316333901469,2.8278318240547944,582.156857183139,True,True,True,9.125821944865875,9.5,False,False,True
