qid,arm,recall_at_10,presence_wb,provenance_at_10,presence_wb_on_gold_page,n_gold_titles,n_gold_titles_hit,judge_correct,idk_corrected,in_primary
496,pq_np256,1.0,True,True,False,1,1,False,False,True
496,rabitq_np256,0.9,False,True,False,1,1,False,False,True
496,refine_np64,1.0,True,True,False,1,1,True,False,True
496,sq8_np16,1.0,True,True,False,1,1,False,False,True
496,sq8_np4,0.9,True,True,False,1,1,False,False,True
496,sq8_np512,1.0,True,True,False,1,1,False,False,True
496,sq8_np64,1.0,True,True,False,1,1,False,False,True
496,sq8_np8,0.9,True,True,False,1,1,False,True,True
518,mrl_512_sq8_np512,0.9,True,True,True,1,1,True,False,True
518,pca_uc_384_sq8_np512,0.9,True,True,True,1,1,True,False,True
518,pca_uc_512_sq8_np512,1.0,True,True,True,1,1,True,False,True
518,pq_np256,0.9,True,True,True,1,1,True,False,True
518,rabitq_np256,1.0,True,True,True,1,1,True,False,True
518,refine_np64,1.0,True,True,True,1,1,True,False,True
518,sq8_np16,0.9,True,True,True,1,1,True,False,True
518,sq8_np4,0.8,True,True,True,1,1,True,False,True
518,sq8_np512,1.0,True,True,True,1,1,True,False,True
518,sq8_np64,0.9,True,True,True,1,1,True,False,True
518,sq8_np8,0.9,True,True,True,1,1,True,False,True
523,mrl_512_sq8_np512,0.6,True,True,True,1,1,True,False,True
523,pca_uc_384_sq8_np512,0.8,True,True,True,1,1,True,False,True
523,pca_uc_512_sq8_np512,0.8,True,True,True,1,1,True,False,True
523,pq_np256,0.7,True,True,True,1,1,True,False,True
523,rabitq_np256,0.5,True,True,True,1,1,True,False,True
523,refine_np64,0.7,True,True,True,1,1,True,False,True
523,sq8_np16,0.5,True,True,True,1,1,True,False,True
523,sq8_np4,0.4,True,True,True,1,1,True,False,True
523,sq8_np512,0.8,True,True,True,1,1,True,False,True
523,sq8_np64,0.7,True,True,True,1,1,True,False,True
523,sq8_np8,0.5,True,True,True,1,1,False,True,True
553,mrl_512_sq8_np512,0.8,True,True,True,1,1,True,False,True
553,pca_uc_384_sq8_np512,1.0,True,True,True,1,1,True,False,True
553,pca_uc_512_sq8_np512,0.9,True,True,True,1,1,True,False,True
553,pq_np256,0.8,True,True,True,1,1,True,False,True
553,rabitq_np256,0.8,True,True,True,1,1,False,True,True
553,refine_np64,1.0,True,True,True,1,1,True,False,True
553,sq8_np16,1.0,True,True,True,1,1,True,False,True
553,sq8_np4,0.9,True,True,True,1,1,False,True,True
553,sq8_np512,1.0,True,True,True,1,1,True,False,True
553,sq8_np64,1.0,True,True,True,1,1,True,False,True
553,sq8_np8,1.0,True,True,True,1,1,True,False,True
606,mrl_512_sq8_np512,0.8,True,True,True,1,1,True,False,True
606,pca_uc_384_sq8_np512,0.9,True,True,True,1,1,True,False,True
606,pca_uc_512_sq8_np512,0.9,True,True,True,1,1,True,False,True
606,pq_np256,1.0,True,True,True,1,1,True,False,True
606,rabitq_np256,0.8,True,True,True,1,1,True,False,True
606,refine_np64,1.0,True,True,True,1,1,True,False,True
606,sq8_np16,1.0,True,True,True,1,1,True,False,True
606,sq8_np4,1.0,True,True,True,1,1,True,False,True
606,sq8_np512,1.0,True,True,True,1,1,True,False,True
606,sq8_np64,1.0,True,True,True,1,1,True,False,True
606,sq8_np8,1.0,True,True,True,1,1,True,False,True
614,mrl_512_sq8_np512,0.8,True,True,False,1,1,False,False,True
614,pca_uc_384_sq8_np512,0.9,True,True,False,1,1,False,False,True
614,pca_uc_512_sq8_np512,1.0,True,True,False,1,1,False,False,True
614,pq_np256,1.0,True,True,False,1,1,False,True,True
614,rabitq_np256,0.9,True,True,False,1,1,True,False,True
614,refine_np64,1.0,True,True,False,1,1,False,False,True
614,sq8_np16,1.0,True,True,False,1,1,False,False,True
614,sq8_np4,0.9,True,True,False,1,1,False,False,True
614,sq8_np512,1.0,True,True,False,1,1,False,False,True
614,sq8_np64,1.0,True,True,False,1,1,False,False,True
614,sq8_np8,0.9,True,True,False,1,1,False,False,True
642,mrl_512_sq8_np512,1.0,True,True,True,2,2,True,False,True
642,pca_uc_384_sq8_np512,1.0,True,True,True,2,2,True,False,True
642,pca_uc_512_sq8_np512,1.0,True,True,True,2,2,True,False,True
642,pq_np256,0.9,True,True,True,2,2,True,False,True
642,rabitq_np256,0.9,True,True,True,2,2,True,False,True
642,refine_np64,1.0,True,True,True,2,2,True,False,True
642,sq8_np16,1.0,True,True,True,2,2,True,False,True
642,sq8_np4,0.9,True,True,True,2,2,True,False,True
642,sq8_np512,1.0,True,True,True,2,2,True,False,True
642,sq8_np64,1.0,True,True,True,2,2,True,False,True
642,sq8_np8,1.0,True,True,True,2,2,True,False,True
715,mrl_512_sq8_np512,0.9,False,True,False,1,1,False,True,False
715,pca_uc_384_sq8_np512,1.0,False,True,False,1,1,False,False,False
715,pca_uc_512_sq8_np512,1.0,False,True,False,1,1,False,True,False
715,pq_np256,0.9,False,True,False,1,1,False,True,False
715,rabitq_np256,1.0,False,True,False,1,1,False,False,False
715,refine_np64,1.0,False,True,False,1,1,False,False,False
715,sq8_np16,1.0,False,True,False,1,1,False,False,False
715,sq8_np4,1.0,False,True,False,1,1,False,False,False
715,sq8_np512,1.0,False,True,False,1,1,False,False,False
715,sq8_np64,1.0,False,True,False,1,1,False,False,False
715,sq8_np8,1.0,False,True,False,1,1,False,False,False
753,mrl_512_sq8_np512,0.8,True,True,True,1,1,True,False,True
753,pca_uc_384_sq8_np512,1.0,True,True,True,1,1,True,False,True
753,pca_uc_512_sq8_np512,1.0,True,True,True,1,1,True,False,True
753,pq_np256,0.8,True,True,True,1,1,True,False,True
753,rabitq_np256,0.8,True,True,True,1,1,True,False,True
753,refine_np64,0.9,True,True,True,1,1,True,False,True
753,sq8_np16,0.7,True,True,True,1,1,False,True,True
753,sq8_np4,0.7,True,True,True,1,1,False,True,True
753,sq8_np512,1.0,True,True,True,1,1,True,False,True
753,sq8_np64,0.9,True,True,True,1,1,True,False,True
753,sq8_np8,0.7,True,True,True,1,1,False,True,True
784,mrl_512_sq8_np512,0.9,True,True,True,2,1,True,False,True
784,pca_uc_384_sq8_np512,1.0,True,True,True,2,1,True,False,True
784,pca_uc_512_sq8_np512,1.0,True,True,True,2,1,True,False,True
784,pq_np256,0.9,True,True,True,2,1,True,False,True
784,rabitq_np256,0.9,True,True,True,2,1,True,False,True
784,refine_np64,1.0,True,True,True,2,1,True,False,True
784,sq8_np16,1.0,True,True,True,2,1,True,False,True
784,sq8_np4,1.0,True,True,True,2,1,True,False,True
784,sq8_np512,1.0,True,True,True,2,1,True,False,True
784,sq8_np64,1.0,True,True,True,2,1,True,False,True
784,sq8_np8,1.0,True,True,True,2,1,True,False,True
861,mrl_512_sq8_np512,0.8,True,False,False,1,0,True,False,True
861,pca_uc_384_sq8_np512,1.0,True,False,False,1,0,True,False,True
861,pca_uc_512_sq8_np512,1.0,True,False,False,1,0,True,False,True
861,pq_np256,0.9,True,False,False,1,0,True,False,True
861,rabitq_np256,0.9,True,False,False,1,0,True,False,True
861,refine_np64,1.0,True,False,False,1,0,True,False,True
861,sq8_np16,1.0,True,False,False,1,0,True,False,True
861,sq8_np4,1.0,True,False,False,1,0,True,False,True
861,sq8_np512,1.0,True,False,False,1,0,True,False,True
861,sq8_np64,1.0,True,False,False,1,0,True,False,True
861,sq8_np8,1.0,True,False,False,1,0,True,False,True
873,mrl_512_sq8_np512,0.9,False,False,False,1,0,True,False,False
873,pca_uc_384_sq8_np512,0.9,False,False,False,1,0,True,False,False
873,pca_uc_512_sq8_np512,0.9,False,False,False,1,0,True,False,False
873,pq_np256,0.9,False,False,False,1,0,True,False,False
873,rabitq_np256,0.8,False,True,False,1,1,True,False,False
873,refine_np64,1.0,False,False,False,1,0,True,False,False
873,sq8_np16,1.0,False,False,False,1,0,True,False,False
873,sq8_np4,0.8,False,True,False,1,1,True,False,False
873,sq8_np512,1.0,False,False,False,1,0,True,False,False
873,sq8_np64,1.0,False,False,False,1,0,True,False,False
873,sq8_np8,0.9,False,False,False,1,0,True,False,False
891,mrl_512_sq8_np512,0.6,True,True,True,1,1,False,False,True
891,pca_uc_384_sq8_np512,1.0,True,True,True,1,1,False,False,True
891,pca_uc_512_sq8_np512,1.0,True,True,True,1,1,False,False,True
891,pq_np256,0.8,True,True,True,1,1,False,False,True
891,rabitq_np256,0.9,True,True,True,1,1,False,False,True
891,refine_np64,1.0,True,True,True,1,1,False,False,True
891,sq8_np16,1.0,True,True,True,1,1,False,False,True
891,sq8_np4,1.0,True,True,True,1,1,False,False,True
891,sq8_np512,1.0,True,True,True,1,1,False,False,True
891,sq8_np64,1.0,True,True,True,1,1,False,False,True
891,sq8_np8,1.0,True,True,True,1,1,False,False,True
937,mrl_512_sq8_np512,0.8,True,True,True,1,1,True,False,True
